artists,name,duration_ms,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Morgan Wallen,7 Summers,210506,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Tory Lanez,The Color Violet,226466,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Treaty Oak Revival,Missed Call,255125,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Cody Johnson,'Til You Can't,224213,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Morgan Wallen,More Than My Hometown,216573,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
YoungBoy Never Broke Again,Nevada,155737,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Surf Curse,Freaks,147062,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Olivia Rodrigo,deja vu,215506,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Morgan Wallen,Cover Me Up,293706,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Treaty Oak Revival,No Vacancy,244429,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Natural Sample Makers,Addormentarsi,150836,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Don Toliver, Travis Scott",You (feat. Travis Scott),213636,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
The Rare Occasions,Notion,195120,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Olivia Rodrigo,traitor,229226,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),252262,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Justin Bieber,Ghost,153190,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
PinkPantheress,Pain,98544,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Morgan Wallen,Wasted On You,178520,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Jordana, TV Girl",Better in the Dark,155500,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Treaty Oak Revival,Ode To Bourbon,241375,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Cafuné,Tek It,191823,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Olivia Rodrigo,good 4 u,178146,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Matt Martians,An Eater,147500,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
The Marías,Heavy,253213,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Doja Cat, SZA",Kiss Me More (feat. SZA),208666,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Olivia Rodrigo,drivers license,242013,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Billie Eilish,Happier Than Ever,298899,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Olivia Rodrigo,favorite crime,152666,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,242096,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Jordan Davis, Luke Bryan",Buy Dirt,167480,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),141805,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),192956,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Drake, Travis Scott",Fair Trade (with Travis Scott),291175,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Doja Cat,Been Like This,177373,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Migos, YoungBoy Never Broke Again",Need It (feat. YoungBoy Never Broke Again),195680,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Doja Cat,Ain't Shit,174253,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Eyedress, Dent May",Something About You,153312,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Tate McRae,you broke me first,170234,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Jhené Aiko,stranger,214893,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Ed Sheeran,Shivers,207853,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
EKKSTACY,i walk this earth all by myself,145634,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Edy Boman,Heavy Thunderstorm,602200,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Doja Cat,Woman,172626,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Olivia Rodrigo,happier,175933,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Olivia Rodrigo,"jealousy, jealousy",173160,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Justin Bieber, Daniel Caesar, GIVĒON",Peaches (feat. Daniel Caesar & Giveon),198081,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Måneskin,I WANNA BE YOUR SLAVE,173346,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"White Noise Radiance, Rain Sounds","Rain Sounds for Sleeping, Pt. 01 (Continuous No Gaps)",360000,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Drake,Pipe Down,205721,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Morgan Wallen, Chris Stapleton",Only Thing That’s Gone,196706,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
AJR,Bang!,170858,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Doja Cat, The Weeknd",You Right,186173,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Doja Cat,Need to Know,210560,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Morgan Wallen,This Bar,185280,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Dijon,The Dress,184767,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Laufey, Philharmonia Orchestra",Let You Break My Heart Again,269066,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"DJ Khaled, Lil Baby, Lil Durk",EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),236524,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
late night drive home,Stress Relief,205714,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),154983,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Drake, Yebba",Yebba’s Heartbreak,133762,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),242965,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Olivia Rodrigo,brutal,143746,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Baby Keem,16,156040,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Ed Sheeran,Bad Habits,230746,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Sleepy Hallow,2055,123986,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Polo G,RAPSTAR,165925,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Lil Tecca,LOT OF ME,123870,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Olivia Rodrigo,enough for you,202826,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Drake,TSU,308755,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Olivia Rodrigo,"1 step forward, 3 steps back",163586,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Morgan Wallen,Sand In My Boots,202133,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Moneybagg Yo,Time Today,136899,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
Megan Moroney,Wonder,222139,2021,0.252,0.563,0.588,5.58e-05,0.13,-9.0655,0.0432,117.643,0.551
