id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
58FbmtiyAlFBqFr8EorsSr,7 Summers,100,210506,0,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],2021-01-08,,,,,,,,,,,,
6ybZUqlfk938oS6WeBmDab,Missed Call,99,255125,1,['Treaty Oak Revival'],['3444S3C4U9Ts86BnCtSPRV'],2021-01-29,0.385,0.787,9.0,-2.891,1.0,0.0318,0.0211,4.32e-06,0.136,0.337,152.251,4.0
4k3lPl8YTKuY8c1HelVnm3,'Til You Can't,98,224213,0,['Cody Johnson'],['6zLBxLdl60ekBLpawtT63I'],2021-10-08,0.501,0.815,1.0,-4.865,1.0,0.0436,0.0513,0.0,0.106,0.46,160.087,4.0
0IRZwSCWFdT5D8hNCXHzZX,More Than My Hometown,97,216573,0,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],2021-01-08,,,,,,,,,,,,
3azJifCSqg9fRij2yKIbWz,The Color Violet,96,226466,0,['Tory Lanez'],['2jku7tDXc6XoB6MO2hFuqg'],2021-12-10,0.645,0.534,6.0,-10.8,0.0,0.0479,0.157,0.0,0.0863,0.463,105.02,4.0
7EkWXAI1wn8Ii883ecd9xr,Freaks,95,147062,0,['Surf Curse'],['1gl0S9pS0Zw0qfa14rDD3D'],2021-05-15,0.345,0.941,9.0,-9.918,1.0,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,4.0
2cEnKRR4dYBB2VA1mjlb1z,Nevada,94,155737,1,['YoungBoy Never Broke Again'],['7wlFDEWiM5OoIAt8RSli8b'],2021-09-24,0.777,0.59,0.0,-8.741,0.0,0.286,0.397,0.0,0.169,0.238,147.978,4.0
6HU7h9RYOaPRFeh0R3UeAr,deja vu,93,215506,1,['Olivia Rodrigo'],['1McMsnEElThX1knmY4oliG'],2021-05-21,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,4.0
5CZ40GBx1sQ9agT82CLQCT,traitor,92,229226,0,['Olivia Rodrigo'],['1McMsnEElThX1knmY4oliG'],2021-05-21,0.38,0.339,3.0,-7.885,1.0,0.0338,0.691,0.0,0.12,0.0849,100.607,4.0
5AQNqdpl6SEV9rAHWy7U9w,Cover Me Up,91,293706,0,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],2021-01-08,,,,,,,,,,,,
0sTlGEld0h8kIPZaKDYUf4,Notion,90,195120,0,['The Rare Occasions'],['1QfpRUtH14JLoY6F6AYmwt'],2021-12-02,0.309,0.883,9.0,-3.825,1.0,0.0808,0.0673,0.00111,0.0849,0.312,159.488,4.0
6I3mqTwhRpn34SLVafSH7G,Ghost,89,153190,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-03-19,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,4.0
5YanmSgudc0CaxZrn40YnM,Wasted On You,88,178520,0,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],2021-01-08,,,,,,,,,,,,
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),87,252262,1,"['Baby Keem', 'Kendrick Lamar']","['5SXuuuRpukkTvsLuUknva1', '2YZyLoL8N0Wb9xBt1NhZWg']",2021-09-10,0.711,0.611,1.0,-5.453,1.0,0.33,0.00588,0.0,0.23,0.144,134.093,4.0
3pVs5Zehts89WLyBPiYfxG,No Vacancy,86,244429,0,['Treaty Oak Revival'],['3444S3C4U9Ts86BnCtSPRV'],2021-01-29,0.432,0.784,0.0,-3.506,1.0,0.0347,0.00561,3.35e-05,0.222,0.41,75.999,4.0
33YkiqLWsxzZdi8Z1AKyIk,An Eater,85,147500,1,['Matt Martians'],['7ycsWk9ae4pTAlWH8j6Hf9'],2021-04-09,0.624,0.695,2.0,-8.594,1.0,0.0436,0.367,0.00394,0.647,0.177,119.982,4.0
4qS2KPWvsQzLvRa9oCHw41,You (feat. Travis Scott),84,213636,1,"['Don Toliver', 'Travis Scott']","['4Gso3d4CscCijv0lmajZWs', '0Y5tJX1MQlPlqiwlOH1tJY']",2021-10-08,0.782,0.528,1.0,-6.035,0.0,0.0532,0.409,7.89e-05,0.0999,0.389,117.977,4.0
3SeDS5sSoWnwAZvVgkdKzf,Better in the Dark,83,155500,0,"['Jordana', 'TV Girl']","['5Bw9kFNhy019e4IBCJZlzw', '0Y6dVaC9DZtPNH4591M42W']",2021-10-13,0.678,0.64,9.0,-7.486,1.0,0.0268,0.283,0.00067,0.682,0.701,90.058,4.0
