artists,name,year,alternative_method,alternative_cluster
Max Webster,Battle Scar,1980,dbscan,0
Fleetwood Mac,"Sara - Live 1979, St. Louis, MO",1980,dbscan,0
Motörhead,Shoot You in the Back,1980,dbscan,0
Vasco Rossi,Non l'hai mica capito,1980,dbscan,0
Kuldeep Manak,Yaaran Da Truck - Kuldip Manak,1980,dbscan,0
Bruce Springsteen,Stray Bullet - Studio Outtake - 1980,1980,dbscan,0
Fünf Freunde,010 - im Nebel - Teil 31,1980,dbscan,0
Doce,"Ok, Ko",1980,dbscan,0
Néstor Zavarce,Cinco Pa' las Doce,1980,dbscan,0
Haris Alexiou,Ximeroni,1980,dbscan,0
Miro Žbirka,V slepých uličkách,1980,dbscan,0
Tommy J Pisa,Mulanya Biasa Saja,1980,dbscan,0
Talking Heads,The Great Curve,1980,dbscan,0
Ratih Purwasih,Aku Jatuh Cinta,1980,dbscan,0
Guillermo Davila,Cuando Se Acaba el Amor,1980,dbscan,0
Knutsen & Ludvigsen,Hallo! Hallo!,1980,dbscan,0
Obbie Messakh,Bunyikan Suara Hati,1980,dbscan,0
Nic Jones,The Little Pot Stove,1980,dbscan,0
Reginaldo Rossi,Recife,1980,dbscan,0
Doce,Café Com Sal,1980,dbscan,0
Nicola Di Bari,Agnese,1980,dbscan,0
The Cure,Play For Today,1980,dbscan,0
Fünf Freunde,010 - im Nebel - Teil 05,1980,dbscan,0
The Police,Voices Inside My Head,1980,dbscan,0
Irene Cara,Fame,1980,dbscan,0
The Jam,But I'm Different Now - Demo Version,1980,dbscan,0
"Giacomo Puccini, José Carreras, Fernando Corena, Berliner Philharmoniker, Herbert von Karajan","Tosca / Act 1: ""Recondita armonia""",1980,dbscan,0
C. Ashwath,Mohada Hendathi,1980,dbscan,0
Ersen ve Dadaşlar,Müdür Beyin Yeşil Kürkü,1980,dbscan,0
Steel Pulse,Caught You Dancing,1980,dbscan,0
Francis Santana,Merengue Apambichao,1980,dbscan,0
Bibi Blocksberg,Kapitel 14 - Hexerei in der Schule (Folge 002),1980,dbscan,0
Off Course,おまえもひとり,1980,dbscan,0
Rajkumar,Haalu Jenu,1980,dbscan,0
UB40,25%,1980,dbscan,0
999,L'il Red Riding Hood,1980,dbscan,0
林翠萍,褪色的相思夢,1980,dbscan,0
Billy Joel,You May Be Right,1980,dbscan,0
Chava Alberstein,עוד חוזר הניגון,1980,dbscan,0
Ratih Purwasih,Kucari Jalan Terbaik,1980,dbscan,0
