decade_label,cluster,track_count,share
1980s,0,1129,0.5202764976958525
1980s,1,329,0.15161290322580645
1980s,2,712,0.328110599078341
1990s,0,1314,0.6055299539170507
1990s,1,191,0.08801843317972351
1990s,2,665,0.3064516129032258
2000s,0,1525,0.7027649769585254
2000s,1,146,0.06728110599078341
2000s,2,499,0.22995391705069124
2010s,0,1607,0.740552995391705
2010s,1,122,0.05622119815668203
2010s,2,441,0.2032258064516129
2020s,0,1244,0.9554531490015361
2020s,1,14,0.010752688172043012
2020s,2,44,0.03379416282642089
