artists,name,duration_ms,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,decade,decade_label,cluster
Max Webster,Battle Scar,350827,1980,0.0152,0.415,0.636,0.00143,0.18,-6.97,0.0366,128.179,0.425,33.0,1980,1980s,0
Fleetwood Mac,"Sara - Live 1979, St. Louis, MO",444400,1980,0.14,0.587,0.482,0.00475,0.992,-17.642,0.0332,135.39,0.708,32.0,1980,1980s,1
Motörhead,Shoot You in the Back,158120,1980,0.0606,0.33,0.976,0.00619,0.289,-4.027,0.0812,126.327,0.238,45.0,1980,1980s,0
Vasco Rossi,Non l'hai mica capito,231000,1980,0.123,0.791,0.767,0.0,0.0695,-9.235,0.196,134.786,0.598,46.0,1980,1980s,0
Kuldeep Manak,Yaaran Da Truck - Kuldip Manak,244387,1980,0.839,0.61,0.554,0.001,0.343,-11.421,0.0591,73.626,0.781,21.0,1980,1980s,2
Bruce Springsteen,Stray Bullet - Studio Outtake - 1980,366067,1980,0.711,0.428,0.328,0.111,0.183,-13.851,0.0261,93.919,0.193,27.0,1980,1980s,2
Fünf Freunde,010 - im Nebel - Teil 31,71453,1980,0.854,0.588,0.329,0.0,0.257,-10.958,0.857,77.19,0.496,28.0,1980,1980s,1
Doce,"Ok, Ko",190347,1980,0.00193,0.703,0.895,0.0157,0.233,-7.089,0.0399,148.507,0.938,21.0,1980,1980s,0
Néstor Zavarce,Cinco Pa' las Doce,188760,1980,0.878,0.721,0.259,4.59e-06,0.106,-17.533,0.162,142.317,0.81,12.0,1980,1980s,2
Haris Alexiou,Ximeroni,230680,1980,0.533,0.404,0.386,3.33e-06,0.1,-7.297,0.0263,91.309,0.271,16.0,1980,1980s,2
Miro Žbirka,V slepých uličkách,246160,1980,0.664,0.519,0.509,6.26e-06,0.127,-6.69,0.0288,132.155,0.189,29.0,1980,1980s,2
Tommy J Pisa,Mulanya Biasa Saja,240697,1980,0.0102,0.538,0.507,3.16e-05,0.104,-8.632,0.0295,154.161,0.396,20.0,1980,1980s,0
Talking Heads,The Great Curve,387533,1980,0.186,0.605,0.662,0.000321,0.0741,-12.737,0.0576,151.643,0.749,35.0,1980,1980s,0
Ratih Purwasih,Aku Jatuh Cinta,232800,1980,0.0302,0.495,0.499,0.00516,0.163,-9.442,0.0287,70.176,0.353,20.0,1980,1980s,0
Guillermo Davila,Cuando Se Acaba el Amor,280082,1980,0.203,0.265,0.745,0.0,0.207,-3.781,0.0465,158.121,0.537,40.0,1980,1980s,0
Knutsen & Ludvigsen,Hallo! Hallo!,153107,1980,0.565,0.669,0.329,1.8e-06,0.139,-13.402,0.0389,79.714,0.688,37.0,1980,1980s,2
Obbie Messakh,Bunyikan Suara Hati,282080,1980,0.0144,0.549,0.655,0.0,0.249,-7.411,0.0282,75.949,0.451,20.0,1980,1980s,0
Nic Jones,The Little Pot Stove,338560,1980,0.773,0.38,0.22,0.0,0.0895,-15.784,0.0307,88.088,0.461,22.0,1980,1980s,2
Reginaldo Rossi,Recife,206200,1980,0.283,0.676,0.552,2.78e-05,0.185,-13.095,0.0311,117.485,0.781,30.0,1980,1980s,0
Doce,Café Com Sal,189107,1980,0.0278,0.82,0.812,0.0001,0.0398,-6.391,0.048,135.065,0.952,16.0,1980,1980s,0
Nicola Di Bari,Agnese,204867,1980,0.498,0.374,0.483,0.0244,0.499,-11.813,0.0306,107.317,0.829,32.0,1980,1980s,2
The Cure,Play For Today,219173,1980,0.0336,0.659,0.837,0.0221,0.108,-8.757,0.095,80.312,0.862,41.0,1980,1980s,0
Fünf Freunde,010 - im Nebel - Teil 05,68480,1980,0.651,0.74,0.456,0.0,0.153,-9.392,0.575,89.398,0.54,28.0,1980,1980s,1
The Police,Voices Inside My Head,233253,1980,0.0269,0.822,0.628,0.527,0.156,-11.739,0.129,108.795,0.52,45.0,1980,1980s,0
Irene Cara,Fame,316067,1980,0.132,0.7,0.73,0.0,0.133,-8.763,0.0311,130.519,0.961,52.0,1980,1980s,0
The Jam,But I'm Different Now - Demo Version,114747,1980,0.00322,0.351,0.589,4.24e-06,0.376,-9.302,0.0381,49.721,0.78,7.0,1980,1980s,0
"Giacomo Puccini, José Carreras, Fernando Corena, Berliner Philharmoniker, Herbert von Karajan","Tosca / Act 1: ""Recondita armonia""",267507,1980,0.947,0.247,0.114,0.055,0.236,-21.188,0.0415,78.305,0.1,21.0,1980,1980s,2
C. Ashwath,Mohada Hendathi,267285,1980,0.802,0.449,0.406,0.0,0.343,-6.1,0.0335,177.715,0.71,11.0,1980,1980s,0
Ersen ve Dadaşlar,Müdür Beyin Yeşil Kürkü,252587,1980,0.802,0.646,0.657,2.07e-05,0.0868,-7.294,0.128,79.724,0.4,8.0,1980,1980s,2
Steel Pulse,Caught You Dancing,203372,1980,0.0768,0.798,0.603,0.00052,0.192,-7.389,0.0448,144.281,0.975,33.0,1980,1980s,0
Francis Santana,Merengue Apambichao,134418,1980,0.761,0.647,0.652,0.0,0.131,-9.82,0.321,70.747,0.916,4.0,1980,1980s,0
Bibi Blocksberg,Kapitel 14 - Hexerei in der Schule (Folge 002),64782,1980,0.814,0.714,0.281,0.0,0.141,-15.15,0.941,129.579,0.539,35.0,1980,1980s,1
